PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.75     % / mb
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    218.72      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
PEAWANUCK  170911 300  054500-055000   00     238.69  999.9    215.89    -1.30    -9999
PEAWANUCK  170911 300  055000-055500   00     241.29  999.8    218.05    -0.31    -9999
PEAWANUCK  170911 300  055500-060000   00     241.97  999.6    218.42    -0.14    -9999
PEAWANUCK  170911 300  060000-060500   00     239.19  999.5    215.75    -1.36    -9999
PEAWANUCK  170911 300  060500-061000   00     245.28  999.4    221.13     1.10    -9999
PEAWANUCK  170911 300  061000-061500   00     244.93  999.3    220.62     0.87    -9999
PEAWANUCK  170911 300  061500-062000   00     242.23  999.2    217.98    -0.34    -9999
PEAWANUCK  170911 300  062000-062500   00     243.99  999.2    219.55     0.38    -9999
PEAWANUCK  170911 300  062500-063000   00     239.92  999.0    215.67    -1.39    -9999
PEAWANUCK  170911 300  063000-063500   00     245.72  999.0    220.80     0.95    -9999
PEAWANUCK  170911 300  063500-064000   00     246.24  998.9    221.14     1.11    -9999
PEAWANUCK  170911 300  064000-064500   00     248.63  998.8    223.15     2.03    -9999
PEAWANUCK  170911 300  064500-065000   00     243.81  998.8    218.71     0.00    -9999
PEAWANUCK  170911 300  065000-065500   00     244.21  998.7    218.92     0.09    -9999
PEAWANUCK  170911 300  065500-070000   00     242.39  998.6    217.17    -0.71    -9999
PEAWANUCK  170911 300  070000-070500   00     244.21  998.5    218.59    -0.06    -9999
PEAWANUCK  170911 300  070500-071000   00     243.32  998.4    217.62    -0.50    -9999
PEAWANUCK  170911 300  071000-071500   00     244.89  998.3    218.85     0.06    -9999
PEAWANUCK  170911 300  071500-072000   00     245.88  998.2    219.65     0.43    -9999
PEAWANUCK  170911 300  072000-072500   00     239.57  998.1    213.87    -2.22    -9999
PEAWANUCK  170911 300  072500-073000   00     246.43  998.0    219.85     0.52    -9999
PEAWANUCK  170911 300  073000-073500   00     245.88  997.9    219.14     0.19    -9999
PEAWANUCK  170911 300  073500-074000   00     242.02  997.8    215.58    -1.44    -9999
PEAWANUCK  170911 300  074000-074500   00     244.96  997.8    218.09    -0.29    -9999
