YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    218.05      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    170911 300  065500-070000   00     222.80 1004.2    224.69     3.05    -9999
YAKUTSK    170911 300  070000-070500   00     222.85 1004.2    224.72     3.06    -9999
YAKUTSK    170911 300  070500-071000   00     219.63 1004.2    221.47     1.57    -9999
YAKUTSK    170911 300  071000-071500   00     218.99 1004.2    220.85     1.28    -9999
YAKUTSK    170911 300  071500-072000   00     219.41 1004.2    221.28     1.48    -9999
YAKUTSK    170911 300  072000-072500   00     219.12 1004.2    221.01     1.36    -9999
YAKUTSK    170911 300  072500-073000   00     220.03 1004.3    222.00     1.81    -9999
YAKUTSK    170911 300  073000-073500   00     220.88 1004.3    222.88     2.21    -9999
YAKUTSK    170911 300  073500-074000   00     221.33 1004.3    223.33     2.42    -9999
YAKUTSK    170911 300  074000-074500   00     219.57 1004.3    221.57     1.61    -9999
YAKUTSK    170911 300  074500-075000   00     219.76 1004.3    221.76     1.70    -9999
YAKUTSK    170911 300  075000-075500   00     220.37 1004.3    222.37     1.98    -9999
YAKUTSK    170911 300  075500-080000   00     220.67 1004.3    222.67     2.12    -9999
YAKUTSK    170911 300  080000-080500   00     218.72 1004.3    220.75     1.24    -9999
YAKUTSK    170911 300  080500-081000   00     218.11 1004.4    220.21     0.99    -9999
YAKUTSK    170911 300  081000-081500   00     220.24 1004.4    222.37     1.98    -9999
YAKUTSK    170911 300  081500-082000   00     221.49 1004.4    223.63     2.56    -9999
YAKUTSK    170911 300  082000-082500   00     220.40 1004.4    222.56     2.07    -9999
