JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    271.00      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  170911 300  035500-040000   00     280.96  976.0    275.61     1.70     0.72
JANG-BOGO  170911 300  040000-040500   00     279.50  975.8    273.85     1.05     0.06
JANG-BOGO  170911 300  040500-041000   00     282.66  975.8    276.76     2.13     1.14
JANG-BOGO  170911 300  041000-041500   00     280.08  975.5    273.78     1.03     0.03
JANG-BOGO  170911 300  041500-042000   00     281.64  975.3    274.89     1.44     0.44
JANG-BOGO  170911 300  042000-042500   00     283.58  975.4    276.99     2.21     1.20
JANG-BOGO  170911 300  042500-043000   00     282.53  975.3    275.76     1.76     0.75
JANG-BOGO  170911 300  043000-043500   00     283.21  975.2    276.24     1.93     0.91
JANG-BOGO  170911 300  043500-044000   00     278.56  975.2    271.70     0.26    -0.77
JANG-BOGO  170911 300  044000-044500   00     282.59  975.3    275.80     1.77     0.74
JANG-BOGO  170911 300  044500-045000   00     282.06  975.2    275.01     1.48     0.44
JANG-BOGO  170911 300  045000-045500   00     279.78  975.0    272.43     0.53    -0.51
JANG-BOGO  170911 300  045500-050000   00     280.65  975.0    273.32     0.86    -0.19
JANG-BOGO  170911 300  050000-050500   00     282.65  974.9    275.09     1.51     0.45
JANG-BOGO  170911 300  050500-051000   00     280.19  974.9    272.71     0.63    -0.43
JANG-BOGO  170911 300  051000-051500   00     278.82  975.0    271.40     0.15    -0.92
JANG-BOGO  170911 300  051500-052000   00     283.87  974.9    276.30     1.96     0.89
JANG-BOGO  170911 300  052000-052500   00     278.46  975.0    271.17     0.06    -1.02
JANG-BOGO  170911 300  052500-053000   00     285.13  974.9    277.45     2.38     1.30
JANG-BOGO  170911 300  053000-053500   00     281.06  974.9    273.39     0.88    -0.21
JANG-BOGO  170911 300  053500-054000   00     279.89  974.8    272.22     0.45    -0.65
JANG-BOGO  170911 300  054000-054500   00     281.48  974.8    273.75     1.02    -0.08
JANG-BOGO  170911 300  054500-055000   00     283.50  974.8    275.61     1.70     0.59
JANG-BOGO  170911 300  055000-055500   00     278.63  974.7    270.61    -0.14    -1.25
JANG-BOGO  170911 300  055500-060000   00     282.62  974.7    274.66     1.35     0.23
JANG-BOGO  170911 300  060000-060500   00     279.00  974.7    271.12     0.05    -1.08
JANG-BOGO  170911 300  060500-061000   00     278.64  974.8    270.83    -0.06    -9999
JANG-BOGO  170911 300  061000-061500   00     282.84  974.7    274.88     1.43    -9999
JANG-BOGO  170911 300  061500-062000   00     282.22  974.7    274.21     1.19    -9999
JANG-BOGO  170911 300  062000-062500   00     279.93  974.7    271.99     0.37    -9999
JANG-BOGO  170911 300  062500-063000   00     285.10  974.7    277.04     2.23    -9999
JANG-BOGO  170911 300  063000-063500   00     282.70  974.7    274.72     1.38    -9999
JANG-BOGO  170911 300  063500-064000   00     281.61  974.5    273.27     0.84    -9999
JANG-BOGO  170911 300  064000-064500   00     287.69  974.7    279.55     3.16    -9999
