SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170911 300  043500-044000   00     336.41  670.8    314.30     1.53    -0.01
SOUTH-POLE 170911 300  044000-044500   00     336.97  670.7    314.79     1.69     0.15
SOUTH-POLE 170911 300  044500-045000   00     335.44  670.7    313.34     1.22    -0.32
SOUTH-POLE 170911 300  045000-045500   00     334.93  670.7    312.85     1.06    -0.48
SOUTH-POLE 170911 300  045500-050000   00     336.10  670.8    314.00     1.43    -0.11
SOUTH-POLE 170911 300  050000-050500   00     335.72  670.8    313.75     1.35    -0.19
SOUTH-POLE 170911 300  050500-051000   00     335.73  670.7    313.58     1.30    -0.24
SOUTH-POLE 170911 300  051000-051500   00     338.06  670.7    315.65     1.96     0.42
SOUTH-POLE 170911 300  051500-052000   00     334.60  670.7    312.40     0.92    -0.62
SOUTH-POLE 170911 300  052000-052500   00     334.78  670.7    312.61     0.98    -0.56
SOUTH-POLE 170911 300  052500-053000   00     335.54  670.7    313.45     1.26    -0.28
SOUTH-POLE 170911 300  053000-053500   00     336.56  670.8    314.52     1.60     0.06
SOUTH-POLE 170911 300  053500-054000   00     336.66  670.9    314.77     1.68     0.14
SOUTH-POLE 170911 300  054000-054500   00     338.46  670.9    316.64     2.29     0.75
SOUTH-POLE 170911 300  054500-055000   00     335.54  671.0    314.05     1.45    -0.08
