LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    467.90      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   170911 300  060500-061000   00     466.38  735.8    474.91     1.50    -9999
LOMNICKY   170911 300  061000-061500   00     463.06  735.9    471.69     0.81    -9999
LOMNICKY   170911 300  061500-062000   00     466.30  735.8    474.83     1.48    -9999
LOMNICKY   170911 300  062000-062500   00     463.85  735.9    472.50     0.98    -9999
LOMNICKY   170911 300  062500-063000   00     466.90  735.9    475.89     1.71    -9999
LOMNICKY   170911 300  063000-063500   00     466.87  735.9    475.84     1.70    -9999
LOMNICKY   170911 300  063500-064000   00     468.47  736.0    477.66     2.09    -9999
LOMNICKY   170911 300  064000-064500   00     466.74  736.0    475.91     1.71    -9999
LOMNICKY   170911 300  064500-065000   00     466.39  736.0    475.61     1.65    -9999
LOMNICKY   170911 300  065000-065500   00     468.28  736.0    477.63     2.08    -9999
LOMNICKY   170911 300  065500-070000   00     468.48  736.1    477.89     2.14    -9999
LOMNICKY   170911 300  070000-070500   00     467.95  736.0    477.29     2.01    -9999
LOMNICKY   170911 300  070500-071000   00     466.87  735.9    475.82     1.69    -9999
LOMNICKY   170911 300  071000-071500   00     467.78  736.0    476.89     1.92    -9999
LOMNICKY   170911 300  071500-072000   00     466.89  735.9    475.89     1.71    -9999
LOMNICKY   170911 300  072000-072500   00     466.88  735.9    475.78     1.69    -9999
LOMNICKY   170911 300  072500-073000   00     467.15  735.8    475.77     1.68    -9999
LOMNICKY   170911 300  073000-073500   00     467.68  735.9    476.39     1.82    -9999
LOMNICKY   170911 300  073500-074000   00     465.11  735.8    473.70     1.24    -9999
LOMNICKY   170911 300  074000-074500   00     469.23  735.8    477.78     2.11    -9999
LOMNICKY   170911 300  074500-075000   00     470.18  735.8    478.58     2.28    -9999
LOMNICKY   170911 300  075000-075500   00     466.87  735.8    475.29     1.58    -9999
LOMNICKY   170911 300  075500-080000   00     465.64  735.8    474.01     1.31    -9999
LOMNICKY   170911 300  080000-080500   00     468.67  735.8    477.14     1.98    -9999
LOMNICKY   170911 300  080500-081000   00     471.54  735.9    480.35     2.66    -9999
LOMNICKY   170911 300  081000-081500   00     469.77  736.0    479.02     2.38    -9999
LOMNICKY   170911 300  081500-082000   00     469.09  735.9    478.15     2.19    -9999
LOMNICKY   170911 300  082000-082500   00     467.72  736.1    477.14     1.98    -9999
LOMNICKY   170911 300  082500-083000   00     465.42  736.1    474.93     1.50    -9999
LOMNICKY   170911 300  083000-083500   00     466.17  736.1    475.80     1.69    -9999
LOMNICKY   170911 300  083500-084000   00     466.55  736.2    476.49     1.84    -9999
LOMNICKY   170911 300  084000-084500   00     467.97  736.1    477.39     2.03    -9999
LOMNICKY   170911 300  084500-085000   00     471.42  736.1    481.14     2.83    -9999
LOMNICKY   170911 300  085000-085500   00     465.14  736.2    474.86     1.49    -9999
LOMNICKY   170911 300  085500-090000   00     466.17  736.1    475.73     1.67    -9999
