IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170911 300  032000-032500   00     395.80  724.0    422.40     1.08    -9999
IRKUTSK3   170911 300  032500-033000   00     399.40  724.0    426.20     1.99    -9999
IRKUTSK3   170911 300  033000-033500   00     396.80  724.1    423.60     1.37    -9999
IRKUTSK3   170911 300  033500-034000   00     397.80  724.1    424.40     1.56    -9999
IRKUTSK3   170911 300  034000-034500   00     398.80  724.1    425.80     1.89    -9999
IRKUTSK3   170911 300  034500-035000   00     399.20  724.1    426.20     1.99    -9999
IRKUTSK3   170911 300  035000-035500   00     398.00  724.1    424.80     1.65    -9999
IRKUTSK3   170911 300  035500-040000   00     397.40  724.2    424.60     1.61    -9999
IRKUTSK3   170911 300  040000-040500   00     396.00  724.2    423.20     1.27    -9999
IRKUTSK3   170911 300  040500-041000   00     395.40  724.1    422.40     1.08    -9999
IRKUTSK3   170911 300  041000-041500   00     397.20  724.1    424.20     1.51    -9999
IRKUTSK3   170911 300  041500-042000   00     396.40  724.2    423.40     1.32    -9999
IRKUTSK3   170911 300  042000-042500   00     401.40  724.1    428.80     2.61    -9999
IRKUTSK3   170911 300  042500-043000   00     399.00  724.1    426.00     1.94    -9999
IRKUTSK3   170911 300  043000-043500   00     397.20  724.2    424.20     1.51    -9999
IRKUTSK3   170911 300  043500-044000   00     397.60  724.2    425.00     1.70    -9999
IRKUTSK3   170911 300  044000-044500   00     397.00  724.2    424.00     1.46    -9999
IRKUTSK3   170911 300  044500-045000   00     399.60  724.2    426.80     2.13    -9999
IRKUTSK3   170911 300  045000-045500   00     396.40  724.2    423.40     1.32    -9999
IRKUTSK3   170911 300  045500-050000   00     399.40  724.2    426.40     2.04    -9999
IRKUTSK3   170911 300  050000-050500   00     397.20  724.2    424.40     1.56    -9999
IRKUTSK3   170911 300  050500-051000   00     400.80  724.2    428.40     2.51    -9999
IRKUTSK3   170911 300  051000-051500   00     393.20  724.3    420.40     0.60    -9999
