DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.87      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       170911 300  052000-052500   00       4.24  626.5      4.87    -0.05    -3.36
DOMB       170911 300  052500-053000   00       4.24  626.5      4.95     1.65    -1.66
DOMB       170911 300  053000-053500   00       4.24  626.5      4.98     2.33    -0.99
DOMB       170911 300  053500-054000   00       4.24  626.5      5.08     4.39     1.07
DOMB       170911 300  054000-054500   00       4.24  626.5      4.88     0.28    -3.04
DOMB       170911 300  054500-055000   00       4.24  626.5      5.03     3.36     0.04
DOMB       170911 300  055000-055500   00       4.24  626.5      5.05     3.71     0.38
DOMB       170911 300  055500-060000   00       4.24  626.4      5.25     7.81     4.48
DOMB       170911 300  060000-060500   00       4.24  626.4      5.17     6.11     2.78
DOMB       170911 300  060500-061000   00       4.24  626.4      5.08     4.39     1.06
DOMB       170911 300  061000-061500   00       4.24  626.3      5.02     3.03    -0.30
DOMB       170911 300  061500-062000   00       4.24  626.3      4.87    -0.05    -3.38
DOMB       170911 300  062000-062500   00       4.24  626.3      5.07     4.06     0.72
DOMB       170911 300  062500-063000   00       4.24  626.3      5.13     5.41     2.07
DOMB       170911 300  063000-063500   00       4.24  626.2      5.15     5.76     2.42
DOMB       170911 300  063500-064000   00       4.24  626.2      4.90     0.63    -2.71
DOMB       170911 300  064000-064500   00       4.24  626.2      4.92     0.98    -2.36
DOMB       170911 300  064500-065000   00       4.24  626.2      5.00     2.68    -0.66
DOMB       170911 300  065000-065500   00       4.24  626.2      5.07     4.06     0.72
DOMB       170911 300  065500-070000   00       4.24  626.2      5.08     4.39     1.05
DOMB       170911 300  070000-070500   00       4.24  626.2      4.87    -0.05    -3.39
DOMB       170911 300  070500-071000   00       4.24  626.2      5.13     5.41     2.07
DOMB       170911 300  071000-071500   00       4.24  626.1      5.12     5.08     1.74
DOMB       170911 300  071500-072000   00       4.24  626.2      5.08     4.39     1.05
DOMB       170911 300  072000-072500   00       4.24  626.2      4.98     2.33    -1.01
DOMB       170911 300  072500-073000   00       4.24  626.2      5.03     3.36     0.03
DOMB       170911 300  073000-073500   00       4.24  626.2      4.90     0.63    -2.70
DOMB       170911 300  073500-074000   00       4.24  626.2      4.87    -0.05    -3.38
DOMB       170911 300  074000-074500   00       4.24  626.2      4.97     2.00    -1.33
DOMB       170911 300  074500-075000   00       4.24  626.2      4.98     2.33    -1.00
DOMB       170911 300  075000-075500   00       4.24  626.2      5.10     4.73     1.41
DOMB       170911 300  075500-080000   00       4.24  626.1      5.02     3.03    -0.29
DOMB       170911 300  080000-080500   00       4.24  626.1      4.97     2.00    -1.32
DOMB       170911 300  080500-081000   00       4.24  626.1      5.03     3.36     0.04
DOMB       170911 300  081000-081500   00       4.24  626.1      5.00     2.68    -0.63
DOMB       170911 300  081500-082000   00       4.24  626.1      4.87    -0.05    -3.36
DOMB       170911 300  082000-082500   00       4.24  626.1      5.15     5.76     2.45
DOMB       170911 300  082500-083000   00       4.24  626.2      4.93     1.30    -2.00
DOMB       170911 300  083000-083500   00       4.24  626.2      4.92     0.98    -2.32
DOMB       170911 300  083500-084000   00       4.24  626.3      5.37    10.22     6.92
DOMB       170911 300  084000-084500   00       4.24  626.2      4.90     0.63    -2.66
DOMB       170911 300  084500-085000   00       4.24  626.2      5.23     7.47     4.18
DOMB       170911 300  085000-085500   00       4.24  626.2      5.17     6.11     2.83
DOMB       170911 300  085500-090000   00       4.24  626.2      4.98     2.33    -0.95
DOMB       170911 300  090000-090500   00       4.24  626.2      5.12     5.08     1.81
DOMB       170911 300  090500-091000   00       4.24  626.1      5.05     3.71     0.44
DOMB       170911 300  091000-091500   00       4.24  626.1      4.95     1.65    -1.61
DOMB       170911 300  091500-092000   00       4.24  626.1      4.88     0.28    -2.98
DOMB       170911 300  092000-092500   00       4.24  626.1      4.95     1.65    -1.60
DOMB       170911 300  092500-093000   00       4.24  626.1      5.07     4.06     0.81
DOMB       170911 300  093000-093500   00       4.24  626.1      5.08     4.39     1.15
DOMB       170911 300  093500-094000   00       4.24  626.1      5.08     4.39     1.16
DOMB       170911 300  094000-094500   00       4.24  626.2      5.08     4.39     1.16
DOMB       170911 300  094500-095000   00       4.24  626.2      5.13     5.41     2.19
DOMB       170911 300  095000-095500   00       4.24  626.2      4.98     2.33    -0.88
DOMB       170911 300  095500-100000   00       4.24  626.2      5.30     8.84     5.63
DOMB       170911 300  100000-100500   00       4.24  626.2      4.87    -0.05    -3.25
DOMB       170911 300  100500-101000   00       4.24  626.2      4.95     1.65    -1.54
DOMB       170911 300  101000-101500   00       4.24  626.2      5.13     5.41     2.23
DOMB       170911 300  101500-102000   00       4.24  626.2      4.93     1.30    -1.88
DOMB       170911 300  102000-102500   00       4.24  626.2      4.95     1.65    -1.52
DOMB       170911 300  102500-103000   00       4.24  626.3      4.97     2.00    -1.16
DOMB       170911 300  103000-103500   00       4.24  626.3      5.15     5.76     2.61
DOMB       170911 300  103500-104000   00       4.24  626.2      5.15     5.76     2.62
DOMB       170911 300  104000-104500   00       4.24  626.2      5.08     4.39     1.26
DOMB       170911 300  104500-105000   00       4.24  626.2      5.03     3.36     0.23
DOMB       170911 300  105000-105500   00       4.24  626.3      5.00     2.68    -0.44
DOMB       170911 300  105500-110000   00       4.24  626.3      5.15     5.76     2.65
DOMB       170911 300  110000-110500   00       4.24  626.3      5.00     2.68    -0.42
