NOR-AMBERD LATITUDE    40.37     LONGITUDE     44.25     ALTITUDE    2000 M
NOR-AMBERD INSTRUMENT   18NM64    NEUTRON MONITOR
NOR-AMBERD STANDARD PRESSURE    802     MB     COEFFICIENT   -0.67     % / MB
NOR-AMBERD PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
NOR-AMBERD PRE-INCREASE AVERAGE COUNTING RATE    241.63      COUNTS PER SECOND
NOR-AMBERD TIME INTERVALS    300         3600     
NOR-AMBERD SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOR-AMBERD 240511 300  082500-083000   00     229.27  808.7    243.54     0.79    -9999
NOR-AMBERD 240511 300  083000-083500   00     228.53  808.6    242.67     0.43    -9999
NOR-AMBERD 240511 300  083500-084000   00     228.94  808.6    243.11     0.61    -9999
NOR-AMBERD 240511 300  084000-084500   00     226.61  808.7    240.68    -0.39    -9999
NOR-AMBERD 240511 300  084500-085000   00     227.60  808.7    241.73     0.04    -9999
NOR-AMBERD 240511 300  085000-085500   00     227.87  808.6    241.98     0.14    -9999
NOR-AMBERD 240511 300  085500-090000   00     227.64  808.6    241.72     0.04    -9999
NOR-AMBERD 240511 300  090000-090500   00     225.35  808.6    239.24    -0.99    -9999
NOR-AMBERD 240511 300  090500-091000   00     227.13  808.6    241.12    -0.21    -9999
NOR-AMBERD 240511 300  091000-091500   00     224.52  808.6    238.35    -1.36    -9999
NOR-AMBERD 240511 300  091500-092000   00     229.34  808.6    243.49     0.77    -9999
NOR-AMBERD 240511 300  092000-092500   00     232.44  808.6    246.73     2.11    -9999
NOR-AMBERD 240511 300  092500-093000   00     229.11  808.5    243.13     0.62    -9999
NOR-AMBERD 240511 300  093000-093500   00     230.84  808.6    245.00     1.39    -9999
NOR-AMBERD 240511 300  093500-094000   00     229.22  808.6    243.27     0.68    -9999
NOR-AMBERD 240511 300  094000-094500   00     230.50  808.5    244.52     1.19    -9999
NOR-AMBERD 240511 300  094500-095000   00     231.93  808.5    246.10     1.85    -9999
NOR-AMBERD 240511 300  095000-095500   00     230.20  808.5    244.25     1.08    -9999
NOR-AMBERD 240511 300  095500-100000   00     230.49  808.4    244.38     1.14    -9999
NOR-AMBERD 240511 300  100000-100500   00     233.69  808.4    247.70     2.51    -9999
NOR-AMBERD 240511 300  100500-101000   00     231.61  808.4    245.57     1.63    -9999
NOR-AMBERD 240511 300  101000-101500   00     233.45  808.4    247.45     2.41    -9999
NOR-AMBERD 240511 300  101500-102000   00     232.44  808.4    246.38     1.96    -9999
NOR-AMBERD 240511 300  102000-102500   00     230.90  808.3    244.65     1.25    -9999
NOR-AMBERD 240511 300  102500-103000   00     232.30  808.3    246.14     1.86    -9999
NOR-AMBERD 240511 300  103000-103500   00     230.05  808.3    243.73     0.87    -9999
NOR-AMBERD 240511 300  103500-104000   00     232.82  808.3    246.66     2.08    -9999
NOR-AMBERD 240511 300  104000-104500   00     232.24  808.3    246.07     1.84    -9999
NOR-AMBERD 240511 300  104500-105000   00     232.57  808.3    246.39     1.97    -9999
NOR-AMBERD 240511 300  105000-105500   00     233.74  808.2    247.50     2.43    -9999
NOR-AMBERD 240511 300  105500-110000   00     232.47  808.2    246.11     1.85    -9999
NOR-AMBERD 240511 300  110000-110500   00     233.30  808.1    246.86     2.16    -9999
NOR-AMBERD 240511 300  110500-111000   00     234.15  808.1    247.71     2.51    -9999
NOR-AMBERD 240511 300  111000-111500   00     232.37  808.1    245.78     1.72    -9999
NOR-AMBERD 240511 300  111500-112000   00     230.41  808.0    243.64     0.83    -9999
NOR-AMBERD 240511 300  112000-112500   00     233.16  808.1    246.59     2.05    -9999
NOR-AMBERD 240511 300  112500-113000   00     230.51  808.0    243.78     0.89    -9999
NOR-AMBERD 240511 300  113000-113500   00     231.41  808.1    244.77     1.30    -9999
NOR-AMBERD 240511 300  113500-114000   00     226.77  808.1    239.83    -0.75    -9999
NOR-AMBERD 240511 300  114000-114500   00     232.39  808.0    245.65     1.66    -9999
NOR-AMBERD 240511 300  114500-115000   00     231.17  807.9    244.27     1.09    -9999
NOR-AMBERD 240511 300  115000-115500   00     233.85  807.9    246.97     2.21    -9999
NOR-AMBERD 240511 300  115500-120000   00     230.92  807.8    243.76     0.88    -9999
NOR-AMBERD 240511 300  120000-120500   00     233.35  807.7    246.25     1.91    -9999
NOR-AMBERD 240511 300  120500-121000   00     231.27  807.7    244.06     1.00    -9999
NOR-AMBERD 240511 300  121000-121500   00     229.76  807.7    242.32     0.28    -9999
NOR-AMBERD 240511 300  121500-122000   00     230.87  807.6    243.35     0.71    -9999
NOR-AMBERD 240511 300  122000-122500   00     230.52  807.5    242.81     0.49    -9999
NOR-AMBERD 240511 300  122500-123000   00     232.87  807.4    245.16     1.46    -9999
NOR-AMBERD 240511 300  123000-123500   00     230.32  807.4    242.44     0.33    -9999
NOR-AMBERD 240511 300  123500-124000   00     232.68  807.3    244.79     1.31    -9999
NOR-AMBERD 240511 300  124000-124500   00     228.88  807.2    240.68    -0.40    -9999
NOR-AMBERD 240511 300  124500-125000   00     229.38  807.1    241.02    -0.26    -9999
NOR-AMBERD 240511 300  125000-125500   00     231.68  807.1    243.47     0.76    -9999
NOR-AMBERD 240511 300  125500-130000   00     231.88  807.1    243.62     0.82    -9999
NOR-AMBERD 240511 300  130000-130500   00     231.94  807.0    243.55     0.79    -9999
NOR-AMBERD 240511 300  130500-131000   00     229.31  806.9    240.52    -0.46    -9999
NOR-AMBERD 240511 300  131000-131500   00     232.44  806.8    243.61     0.82    -9999
NOR-AMBERD 240511 300  131500-132000   00     232.00  806.8    243.18     0.64    -9999
NOR-AMBERD 240511 300  132000-132500   00     233.49  806.8    244.81     1.32    -9999
NOR-AMBERD 240511 300  132500-133000   00     232.43  806.8    243.70     0.86    -9999
NOR-AMBERD 240511 300  133000-133500   00     230.50  806.8    241.62    -0.01    -9999
NOR-AMBERD 240511 300  133500-134000   00     235.70  806.8    247.16     2.29    -9999
NOR-AMBERD 240511 300  134000-134500   00     231.87  806.9    243.22     0.65    -9999
NOR-AMBERD 240511 300  134500-135000   00     232.42  806.9    243.78     0.89    -9999
NOR-AMBERD 240511 300  135000-135500   00     234.26  806.9    245.70     1.68    -9999
NOR-AMBERD 240511 300  135500-140000   00     235.27  806.9    246.84     2.15    -9999
NOR-AMBERD 240511 300  140000-140500   00     231.97  807.0    243.51     0.78    -9999
NOR-AMBERD 240511 300  140500-141000   00     230.47  807.1    242.15     0.21    -9999
NOR-AMBERD 240511 300  141000-141500   00     231.28  807.2    243.07     0.60    -9999
NOR-AMBERD 240511 300  141500-142000   00     230.42  807.2    242.24     0.25    -9999
NOR-AMBERD 240511 300  142000-142500   00     229.09  807.2    240.83    -0.33    -9999
NOR-AMBERD 240511 300  142500-143000   00     232.93  807.1    244.73     1.28    -9999
NOR-AMBERD 240511 300  143000-143500   00     229.98  807.1    241.57    -0.03    -9999
NOR-AMBERD 240511 300  143500-144000   00     228.41  807.0    239.82    -0.75    -9999
NOR-AMBERD 240511 300  144000-144500   00     230.92  806.8    242.16     0.22    -9999
NOR-AMBERD 240511 300  144500-145000   00     229.75  806.7    240.73    -0.37    -9999
NOR-AMBERD 240511 300  145000-145500   00     227.95  806.7    238.89    -1.13    -9999
NOR-AMBERD 240511 300  145500-150000   00     228.88  806.7    239.73    -0.79    -9999
NOR-AMBERD 240511 300  150000-150500   00     229.56  806.6    240.35    -0.53    -9999
NOR-AMBERD 240511 300  150500-151000   00     230.08  806.6    240.85    -0.32    -9999
NOR-AMBERD 240511 300  151000-151500   00     229.92  806.7    240.84    -0.33    -9999
NOR-AMBERD 240511 300  151500-152000   00     228.66  806.7    239.53    -0.87    -9999
NOR-AMBERD 240511 300  152000-152500   00     231.82  806.7    242.79     0.48    -9999
NOR-AMBERD 240511 300  152500-153000   00     232.03  806.7    243.09     0.60    -9999
NOR-AMBERD 240511 300  153000-153500   00     231.71  806.7    242.78     0.47    -9999
NOR-AMBERD 240511 300  153500-154000   00     230.84  806.6    241.74     0.04    -9999
NOR-AMBERD 240511 300  154000-154500   00     228.03  806.8    238.99    -1.09    -9999
NOR-AMBERD 240511 300  154500-155000   00     230.57  806.9    241.91     0.12    -9999
NOR-AMBERD 240511 300  155000-155500   00     231.61  806.9    243.02     0.57    -9999
NOR-AMBERD 240511 300  155500-160000   00     230.03  806.9    241.28    -0.15    -9999
NOR-AMBERD 240511 300  160000-160500   00     233.50  806.8    244.81     1.32    -9999
NOR-AMBERD 240511 300  160500-161000   00     231.51  806.8    242.76     0.47    -9999
NOR-AMBERD 240511 300  161000-161500   00     228.72  806.8    239.78    -0.77    -9999
NOR-AMBERD 240511 300  161500-162000   00     230.60  806.8    241.78     0.06    -9999
NOR-AMBERD 240511 300  162000-162500   00     231.54  806.9    242.88     0.51    -9999
NOR-AMBERD 240511 300  162500-163000   00     228.95  806.9    240.15    -0.62    -9999
NOR-AMBERD 240511 300  163000-163500   00     230.05  806.8    241.22    -0.17    -9999
NOR-AMBERD 240511 300  163500-164000   00     232.21  806.8    243.41     0.74    -9999
NOR-AMBERD 240511 300  164000-164500   00     230.69  806.8    241.84     0.09    -9999
NOR-AMBERD 240511 300  164500-165000   00     230.26  806.8    241.38    -0.11    -9999
NOR-AMBERD 240511 300  165000-165500   00     232.03  806.7    243.15     0.63    -9999
NOR-AMBERD 240511 300  165500-170000   00     231.20  806.7    242.18     0.23    -9999
NOR-AMBERD 240511 3600 170000-180000   00     230.21  806.4    240.62    -0.42    -9999
NOR-AMBERD 240511 3600 180000-190000   00     230.35  805.6    239.52    -0.87    -9999
NOR-AMBERD 240511 3600 190000-200000   00     231.27  804.9    239.24    -0.99    -9999
NOR-AMBERD 240511 3600 200000-210000   00     233.00  804.3    240.14    -0.62    -9999
NOR-AMBERD 240511 3600 210000-220000   00     233.82  803.8    240.00    -0.67    -9999
NOR-AMBERD 240511 3600 220000-230000   00     235.20  803.2    240.56    -0.44    -9999
NOR-AMBERD 240511 3600 230000-240000   00     235.98  802.8    240.64    -0.41    -9999
NOR-AMBERD 240512 3600 000000-010000   00     236.84  802.3    240.66    -0.40    -9999
NOR-AMBERD 240512 3600 010000-020000   00     236.71  801.8    239.63    -0.83    -9999
NOR-AMBERD 240512 3600 020000-030000   00     238.20  802.0    241.45    -0.08    -9999
NOR-AMBERD 240512 3600 030000-040000   00     240.30  801.6    242.95     0.55    -9999
NOR-AMBERD 240512 3600 040000-050000   00     241.95  801.2    244.02     0.99    -9999
NOR-AMBERD 240512 3600 050000-060000   00     242.07  801.1    243.94     0.95    -9999
NOR-AMBERD 240512 3600 060000-070000   00     243.66  800.9    245.19     1.47    -9999
NOR-AMBERD 240512 3600 070000-080000   00     243.13  800.8    244.45     1.17    -9999
NOR-AMBERD 240512 3600 080000-090000   00     243.57  800.5    244.42     1.15    -9999
NOR-AMBERD 240512 3600 090000-100000   00     244.15  800.1    244.28     1.10    -9999
NOR-AMBERD 240512 3600 100000-110000   00     243.03  799.8    242.74     0.46    -9999
NOR-AMBERD 240512 3600 110000-120000   00     244.63  799.2    243.27     0.68    -9999
NOR-AMBERD 240512 3600 120000-130000   00     244.85  798.6    242.54     0.38    -9999
NOR-AMBERD 240512 3600 130000-140000   00     246.63  797.9    243.00     0.57    -9999
NOR-AMBERD 240512 3600 140000-150000   00     245.65  797.7    241.73     0.04    -9999
NOR-AMBERD 240512 3600 150000-160000   00     245.09  797.9    241.52    -0.05    -9999
