MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240511 300  140500-141000   00     210.67  776.0    206.70     0.68    -9999
MEXICOCITY 240511 300  141000-141500   00     210.81  776.0    206.84     0.75    -9999
MEXICOCITY 240511 300  141500-142000   00     209.08  776.0    205.15    -0.08    -9999
MEXICOCITY 240511 300  142000-142500   00     208.52  776.0    204.60    -0.35    -9999
MEXICOCITY 240511 300  142500-143000   00     211.37  776.0    207.39     1.01    -9999
MEXICOCITY 240511 300  143000-143500   00     210.32  776.0    206.37     0.51    -9999
MEXICOCITY 240511 300  143500-144000   00     211.61  776.0    207.63     1.13    -9999
MEXICOCITY 240511 300  144000-144500   00     210.21  776.0    206.25     0.46    -9999
MEXICOCITY 240511 300  144500-145000   00     211.30  776.0    207.32     0.98    -9999
MEXICOCITY 240511 300  145000-145500   00     209.30  776.0    205.30     0.00    -9999
MEXICOCITY 240511 300  145500-150000   00     210.18  775.9    206.08     0.37    -9999
MEXICOCITY 240511 300  150000-150500   00     211.21  775.9    207.08     0.86    -9999
MEXICOCITY 240511 300  150500-151000   00     210.84  775.9    206.72     0.69    -9999
MEXICOCITY 240511 300  151000-151500   00     212.09  775.8    207.86     1.24    -9999
MEXICOCITY 240511 300  151500-152000   00     209.97  775.8    205.73     0.20    -9999
MEXICOCITY 240511 300  152000-152500   00     212.92  775.8    208.58     1.59    -9999
MEXICOCITY 240511 300  152500-153000   00     213.05  775.7    208.60     1.60    -9999
MEXICOCITY 240511 300  153000-153500   00     210.33  775.7    205.93     0.30    -9999
MEXICOCITY 240511 300  153500-154000   00     215.27  775.7    210.77     2.66    -9999
MEXICOCITY 240511 300  154000-154500   00     212.57  775.7    208.13     1.37    -9999
MEXICOCITY 240511 300  154500-155000   00     211.05  775.7    206.63     0.64    -9999
