FORT-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORT-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
FORT-SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
FORT-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
FORT-SMITH PRE-INCREASE AVERAGE COUNTING RATE    178.05      COUNTS PER SECOND
FORT-SMITH TIME INTERVALS    300         3600     
FORT-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
FORT-SMITH 240511 300  125500-130000   00     229.34  979.5    178.27     0.12    -0.66
FORT-SMITH 240511 300  130000-130500   00     227.61  979.6    177.09    -0.54    -1.32
FORT-SMITH 240511 300  130500-131000   00     227.82  979.6    177.34    -0.40    -1.17
FORT-SMITH 240511 300  131000-131500   00     228.33  979.7    177.77    -0.16    -0.91
FORT-SMITH 240511 300  131500-132000   00     227.93  979.7    177.51    -0.31    -1.05
FORT-SMITH 240511 300  132000-132500   00     228.92  979.8    178.38     0.18    -0.55
FORT-SMITH 240511 300  132500-133000   00     228.26  979.9    177.99    -0.04    -0.76
FORT-SMITH 240511 300  133000-133500   00     228.41  979.9    178.19     0.08    -0.63
FORT-SMITH 240511 300  133500-134000   00     228.54  980.0    178.35     0.17    -0.52
FORT-SMITH 240511 300  134000-134500   00     227.74  980.1    177.85    -0.12    -0.80
FORT-SMITH 240511 300  134500-135000   00     230.09  980.1    179.81     0.99     0.32
FORT-SMITH 240511 300  135000-135500   00     227.82  980.2    178.13     0.04    -0.61
FORT-SMITH 240511 300  135500-140000   00     228.22  980.3    178.52     0.26    -0.38
FORT-SMITH 240511 300  140000-140500   00     227.98  980.3    178.44     0.22    -9999
FORT-SMITH 240511 300  140500-141000   00     227.79  980.5    178.43     0.21    -9999
FORT-SMITH 240511 300  141000-141500   00     226.78  980.6    177.79    -0.15    -9999
FORT-SMITH 240511 300  141500-142000   00     227.34  980.7    178.40     0.19    -9999
FORT-SMITH 240511 300  142000-142500   00     228.23  980.8    179.20     0.64    -9999
FORT-SMITH 240511 300  142500-143000   00     226.59  980.9    178.09     0.02    -9999
FORT-SMITH 240511 300  143000-143500   00     226.54  981.0    178.23     0.10    -9999
FORT-SMITH 240511 300  143500-144000   00     228.40  981.2    179.89     1.03    -9999
FORT-SMITH 240511 300  144000-144500   00     228.10  981.2    179.73     0.94    -9999
FORT-SMITH 240511 300  144500-145000   00     227.55  981.3    179.36     0.73    -9999
FORT-SMITH 240511 300  145000-145500   00     225.39  981.3    177.73    -0.18    -9999
FORT-SMITH 240511 300  145500-150000   00     225.37  981.4    177.85    -0.11    -9999
FORT-SMITH 240511 300  150000-150500   00     226.99  981.5    179.21     0.65    -9999
FORT-SMITH 240511 300  150500-151000   00     227.55  981.6    179.82     0.99    -9999
FORT-SMITH 240511 300  151000-151500   00     223.94  981.7    177.10    -0.54    -9999
FORT-SMITH 240511 300  151500-152000   00     226.07  981.8    178.91     0.48    -9999
FORT-SMITH 240511 300  152000-152500   00     228.63  982.0    181.12     1.72    -9999
FORT-SMITH 240511 300  152500-153000   00     226.74  982.0    179.73     0.94    -9999
FORT-SMITH 240511 300  153000-153500   00     226.59  982.1    179.74     0.95    -9999
FORT-SMITH 240511 300  153500-154000   00     225.76  982.3    179.31     0.70    -9999
FORT-SMITH 240511 300  154000-154500   00     225.51  982.4    179.22     0.66    -9999
FORT-SMITH 240511 300  154500-155000   00     225.31  982.5    179.28     0.69    -9999
FORT-SMITH 240511 300  155000-155500   00     227.90  982.7    181.53     1.95    -9999
FORT-SMITH 240511 300  155500-160000   00     225.73  982.8    179.92     1.05    -9999
FORT-SMITH 240511 3600 160000-170000   00     225.08  983.4    180.16     1.18    -9999
FORT-SMITH 240511 3600 170000-180000   00     225.73  984.4    182.10     2.27    -9999
FORT-SMITH 240511 3600 180000-190000   00     224.49  985.4    182.49     2.49    -9999
FORT-SMITH 240511 3600 190000-200000   00     222.31  986.4    182.05     2.24    -9999
FORT-SMITH 240511 3600 200000-210000   00     224.43  987.1    184.89     3.84    -9999
FORT-SMITH 240511 3600 210000-220000   00     224.08  987.6    185.28     4.06    -9999
FORT-SMITH 240511 3600 220000-230000   00     222.86  988.0    184.82     3.80    -9999
FORT-SMITH 240511 3600 230000-240000   00     219.89  988.4    182.92     2.73    -9999
FORT-SMITH 240512 3600 000000-010000   00     220.01  988.4    182.98     2.77    -9999
FORT-SMITH 240512 3600 010000-020000   00     217.08  989.1    181.43     1.90    -9999
FORT-SMITH 240512 3600 020000-030000   00     216.71  989.0    181.11     1.72    -9999
FORT-SMITH 240512 3600 030000-040000   00     216.55  989.1    181.08     1.70    -9999
FORT-SMITH 240512 3600 040000-050000   00     217.71  989.2    182.18     2.32    -9999
FORT-SMITH 240512 3600 050000-060000   00     218.42  989.2    182.82     2.67    -9999
FORT-SMITH 240512 3600 060000-070000   00     218.53  989.2    182.86     2.70    -9999
FORT-SMITH 240512 3600 070000-080000   00     217.92  989.3    182.45     2.47    -9999
FORT-SMITH 240512 3600 080000-090000   00     218.43  989.3    182.89     2.72    -9999
FORT-SMITH 240512 3600 090000-100000   00     218.35  989.3    182.95     2.75    -9999
FORT-SMITH 240512 3600 100000-110000   00     217.78  989.5    182.71     2.62    -9999
FORT-SMITH 240512 3600 110000-120000   00     216.64  989.7    182.04     2.24    -9999
FORT-SMITH 240512 3600 120000-130000   00     215.86  989.9    181.64     2.01    -9999
FORT-SMITH 240512 3600 130000-140000   00     216.92  989.9    182.50     2.49    -9999
FORT-SMITH 240512 3600 140000-150000   00     218.13  989.7    183.24     2.91    -9999
FORT-SMITH 240512 3600 150000-160000   00     218.78  989.3    183.25     2.92    -9999
FORT-SMITH 240512 3600 160000-170000   00     220.34  988.9    184.01     3.35    -9999
FORT-SMITH 240512 3600 170000-180000   00     221.70  988.3    184.37     3.55    -9999
FORT-SMITH 240512 3600 180000-190000   00     224.26  987.8    185.79     4.35    -9999
FORT-SMITH 240512 3600 190000-200000   00     225.87  987.2    186.31     4.64    -9999
FORT-SMITH 240512 3600 200000-210000   00     225.84  986.6    185.41     4.13    -9999
FORT-SMITH 240512 3600 210000-220000   00     227.56  986.0    186.07     4.50    -9999
