SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     64.28      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      240511 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240512 3600 140000-150000   00    -999.00 -999.0     67.09     4.36    -9999
SANAE      240512 3600 150000-160000   00    -999.00 -999.0     67.43     4.90    -9999
SANAE      240512 3600 160000-170000   00    -999.00 -999.0     67.34     4.75    -9999
SANAE      240512 3600 170000-180000   00    -999.00 -999.0     67.64     5.23    -9999
SANAE      240512 3600 180000-190000   00    -999.00 -999.0     68.03     5.84    -9999
SANAE      240512 3600 190000-200000   00    -999.00 -999.0     68.02     5.81    -9999
SANAE      240512 3600 200000-210000   00    -999.00 -999.0     68.02     5.82    -9999
SANAE      240512 3600 210000-220000   00    -999.00 -999.0     67.39     4.83    -9999
SANAE      240512 3600 220000-230000   00    -999.00 -999.0     67.59     5.14    -9999
SANAE      240512 3600 230000-240000   00    -999.00 -999.0     67.82     5.50    -9999
*
COMMENT DATA RECEIVED FROM DU TOIT STRAUSS
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074SNAE.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
