CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     66.24      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      240511 300  145500-150000   00      71.12  933.4     69.39     4.76    -9999
CALMA      240511 300  150000-150500   00      70.27  933.4     68.56     3.50    -9999
CALMA      240511 300  150500-151000   00      66.42  933.4     64.79    -2.19    -9999
CALMA      240511 300  151000-151500   00      66.87  933.3     65.21    -1.55    -9999
CALMA      240511 300  151500-152000   00      69.23  933.3     67.51     1.92    -9999
CALMA      240511 300  152000-152500   00      68.01  933.3     66.29     0.08    -9999
CALMA      240511 300  152500-153000   00      69.79  933.2     68.01     2.68    -9999
CALMA      240511 300  153000-153500   00      68.40  933.2     66.67     0.65    -9999
CALMA      240511 300  153500-154000   00      68.56  933.3     66.83     0.90    -9999
CALMA      240511 300  154000-154500   00      70.13  933.2     68.35     3.19    -9999
CALMA      240511 300  154500-155000   00      68.89  933.2     67.12     1.33    -9999
CALMA      240511 300  155000-155500   00      67.29  933.1     65.54    -1.06    -9999
CALMA      240511 300  155500-160000   00      69.42  933.1     67.59     2.05    -9999
CALMA      240511 300  160000-160500   00      69.85  933.1     68.01     2.67    -9999
CALMA      240511 300  160500-161000   00      70.18  933.0     68.31     3.13    -9999
CALMA      240511 300  161000-161500   00      70.83  933.0     68.94     4.08    -9999
CALMA      240511 300  161500-162000   00      71.41  933.0     69.51     4.94    -9999
CALMA      240511 300  162000-162500   00      69.76  933.0     67.91     2.52    -9999
CALMA      240511 300  162500-163000   00      70.49  933.0     68.61     3.58    -9999
CALMA      240511 300  163000-163500   00      70.24  933.0     68.35     3.19    -9999
CALMA      240511 300  163500-164000   00      69.86  933.0     67.99     2.65    -9999
CALMA      240511 300  164000-164500   00      69.33  933.0     67.48     1.88    -9999
CALMA      240511 300  164500-165000   00      68.68  933.1     66.86     0.94    -9999
CALMA      240511 300  165000-165500   00      70.33  933.1     68.47     3.38    -9999
CALMA      240511 300  165500-170000   00      68.40  933.1     66.59     0.53    -9999
CALMA      240511 3600 170000-180000   00      69.52  933.2     67.72     2.25    -9999
CALMA      240511 3600 180000-190000   00      68.34  933.5     66.74     0.76    -9999
CALMA      240511 3600 190000-200000   00      68.21  933.9     66.78     0.82    -9999
CALMA      240511 3600 200000-210000   00      67.20  934.7     66.14    -0.15    -9999
CALMA      240511 3600 210000-220000   00      67.64  935.0     66.70     0.70    -9999
CALMA      240511 3600 220000-230000   00      67.30  935.2     66.47     0.35    -9999
CALMA      240511 3600 230000-240000   00      66.68  935.3     65.88    -0.54    -9999
CALMA      240512 3600 000000-010000   00      67.47  935.1     66.60     0.54    -9999
CALMA      240512 3600 010000-020000   00      67.03  935.1     66.15    -0.14    -9999
CALMA      240512 3600 020000-030000   00      67.24  935.2     66.40     0.24    -9999
CALMA      240512 3600 030000-040000   00      67.75  935.2     66.89     0.98    -9999
CALMA      240512 3600 040000-050000   00      68.40  935.2     67.56     1.99    -9999
CALMA      240512 3600 050000-060000   00      68.25  935.5     67.52     1.92    -9999
CALMA      240512 3600 060000-070000   00      68.53  935.6     67.87     2.46    -9999
CALMA      240512 3600 070000-080000   00      68.21  936.0     67.72     2.23    -9999
CALMA      240512 3600 080000-090000   00      68.51  936.0     68.02     2.68    -9999
CALMA      240512 3600 090000-100000   00      67.78  936.0     67.32     1.63    -9999
CALMA      240512 3600 100000-110000   00      68.55  935.9     68.03     2.71    -9999
CALMA      240512 3600 110000-120000   00      68.12  935.5     67.39     1.73    -9999
CALMA      240512 3600 120000-130000   00      68.60  935.0     67.64     2.11    -9999
CALMA      240512 3600 130000-140000   00      68.27  934.5     67.09     1.28    -9999
CALMA      240512 3600 140000-150000   00      68.83  933.9     67.38     1.73    -9999
CALMA      240512 3600 150000-160000   00      69.02  933.5     67.37     1.70    -9999
CALMA      240512 3600 160000-170000   00      68.63  933.2     66.88     0.96    -9999
CALMA      240512 3600 170000-180000   00      69.00  933.0     67.17     1.40    -9999
CALMA      240512 3600 180000-190000   00      69.57  933.0     67.71     2.21    -9999
CALMA      240512 3600 190000-200000   00      69.11  933.2     67.34     1.66    -9999
CALMA      240512 3600 200000-210000   00      68.70  933.7     67.19     1.44    -9999
CALMA      240512 3600 210000-220000   00      68.68  934.1     67.32     1.63    -9999
CALMA      240512 3600 220000-230000   00      68.34  934.0     66.95     1.07    -9999
CALMA      240512 3600 230000-240000   00      69.44  933.8     67.94     2.57    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074CALM.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
