SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240511 300  093000-093500   00     255.33  670.7    238.09     3.04     0.65
SOUTH-POLE 240511 300  093500-094000   00     256.72  670.6    239.33     3.57     1.17
SOUTH-POLE 240511 300  094000-094500   00     255.67  670.6    238.29     3.12     0.71
SOUTH-POLE 240511 300  094500-095000   00     254.89  670.5    237.45     2.76     0.34
SOUTH-POLE 240511 300  095000-095500   00     257.70  670.5    240.04     3.88     1.44
SOUTH-POLE 240511 300  095500-100000   00     255.30  670.4    237.53     2.79     0.35
SOUTH-POLE 240511 300  100000-100500   00     256.09  670.5    238.43     3.18     0.72
SOUTH-POLE 240511 300  100500-101000   00     256.24  670.5    238.60     3.25     0.78
SOUTH-POLE 240511 300  101000-101500   00     257.24  670.5    239.56     3.67     1.19
SOUTH-POLE 240511 300  101500-102000   00     257.07  670.5    239.46     3.63     1.14
SOUTH-POLE 240511 300  102000-102500   00     257.30  670.4    239.50     3.64     1.14
SOUTH-POLE 240511 300  102500-103000   00     257.79  670.5    240.04     3.88     1.36
SOUTH-POLE 240511 300  103000-103500   00     259.94  670.5    242.10     4.77     2.25
SOUTH-POLE 240511 300  103500-104000   00     260.35  670.5    242.44     4.92     2.38
SOUTH-POLE 240511 300  104000-104500   00     259.31  670.4    241.40     4.47     1.92
SOUTH-POLE 240511 300  104500-105000   00     261.68  670.5    243.74     5.48     2.92
SOUTH-POLE 240511 300  105000-105500   00     258.73  670.5    240.96     4.27     1.71
SOUTH-POLE 240511 300  105500-110000   00     257.44  670.5    239.81     3.78     1.20
SOUTH-POLE 240511 300  110000-110500   00     260.68  670.5    242.85     5.10     2.51
SOUTH-POLE 240511 300  110500-111000   00     257.37  670.5    239.73     3.74     1.15
SOUTH-POLE 240511 300  111000-111500   00     259.56  670.5    241.68     4.59     1.98
SOUTH-POLE 240511 300  111500-112000   00     259.66  670.4    241.74     4.61     2.00
SOUTH-POLE 240511 300  112000-112500   00     259.15  670.4    241.21     4.39     1.76
SOUTH-POLE 240511 300  112500-113000   00     260.53  670.4    242.55     4.96     2.33
SOUTH-POLE 240511 300  113000-113500   00     261.16  670.4    243.07     5.19     2.54
SOUTH-POLE 240511 300  113500-114000   00     263.43  670.4    245.12     6.08     3.43
SOUTH-POLE 240511 300  114000-114500   00     260.63  670.4    242.59     4.98     2.32
SOUTH-POLE 240511 300  114500-115000   00     260.49  670.4    242.50     4.94     2.27
SOUTH-POLE 240511 300  115000-115500   00     261.06  670.4    243.03     5.17     2.49
SOUTH-POLE 240511 300  115500-120000   00     258.69  670.5    240.85     4.23     1.54
SOUTH-POLE 240511 300  120000-120500   00     258.13  670.5    240.30     3.99     1.30
SOUTH-POLE 240511 300  120500-121000   00     258.13  670.5    240.33     4.00     1.30
SOUTH-POLE 240511 300  121000-121500   00     256.23  670.4    238.45     3.19     0.48
SOUTH-POLE 240511 300  121500-122000   00     257.47  670.4    239.54     3.66     0.95
SOUTH-POLE 240511 300  122000-122500   00     254.55  670.4    236.86     2.50    -0.22
SOUTH-POLE 240511 300  122500-123000   00     256.34  670.4    238.49     3.21     0.48
SOUTH-POLE 240511 300  123000-123500   00     254.47  670.4    236.72     2.44    -0.30
SOUTH-POLE 240511 300  123500-124000   00     253.41  670.3    235.67     1.99    -0.76
SOUTH-POLE 240511 300  124000-124500   00     256.75  670.2    238.61     3.26     0.51
SOUTH-POLE 240511 300  124500-125000   00     257.36  670.1    239.02     3.44     0.68
