CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240511 300  150500-151000   00     268.57  885.4    245.16    -0.26    -9999
CALGARY    240511 300  151000-151500   00     269.07  885.4    245.56    -0.10    -9999
CALGARY    240511 300  151500-152000   00     269.17  885.4    245.60    -0.08    -9999
CALGARY    240511 300  152000-152500   00     269.15  885.4    245.61    -0.08    -9999
CALGARY    240511 300  152500-153000   00     269.41  885.4    245.86     0.02    -9999
CALGARY    240511 300  153000-153500   00     267.91  885.4    244.40    -0.57    -9999
CALGARY    240511 300  153500-154000   00     273.83  885.3    249.66     1.57    -9999
CALGARY    240511 300  154000-154500   00     270.51  885.3    246.68     0.36    -9999
CALGARY    240511 300  154500-155000   00     272.69  885.3    248.75     1.20    -9999
CALGARY    240511 300  155000-155500   00     273.92  885.4    249.91     1.67    -9999
CALGARY    240511 300  155500-160000   00     269.62  885.4    246.09     0.12    -9999
CALGARY    240511 3600 160000-170000   00     271.84  885.5    248.34     1.03    -9999
CALGARY    240511 3600 170000-180000   00     275.48  885.4    251.38     2.26    -9999
CALGARY    240511 3600 180000-190000   00     277.24  884.9    252.01     2.52    -9999
CALGARY    240511 3600 190000-200000   00     277.20  884.5    251.30     2.23    -9999
CALGARY    240511 3600 200000-210000   00     279.37  884.1    252.42     2.69    -9999
CALGARY    240511 3600 210000-220000   00     282.25  883.4    253.56     3.15    -9999
CALGARY    240511 3600 220000-230000   00     282.60  882.8    252.77     2.83    -9999
CALGARY    240511 3600 230000-240000   00     280.11  882.5    249.94     1.68    -9999
CALGARY    240512 3600 000000-010000   00     279.31  882.3    248.90     1.26    -9999
CALGARY    240512 3600 010000-020000   00     277.92  882.7    248.40     1.05    -9999
CALGARY    240512 3600 020000-030000   00     276.55  883.4    248.45     1.07    -9999
CALGARY    240512 3600 030000-040000   00     275.34  884.3    249.08     1.33    -9999
CALGARY    240512 3600 040000-050000   00     275.19  884.7    249.83     1.63    -9999
CALGARY    240512 3600 050000-060000   00     275.35  884.8    250.13     1.76    -9999
CALGARY    240512 3600 060000-070000   00     274.37  884.9    249.40     1.46    -9999
CALGARY    240512 3600 070000-080000   00     276.04  884.7    250.59     1.94    -9999
CALGARY    240512 3600 080000-090000   00     275.81  884.5    249.88     1.66    -9999
CALGARY    240512 3600 090000-100000   00     277.22  884.0    250.23     1.80    -9999
CALGARY    240512 3600 100000-110000   00     277.73  883.6    249.92     1.67    -9999
