YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    183.29      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    240511 300  121000-121500   00     180.64 1005.2    183.47     0.10    -0.40
YAKUTSK    240511 300  121500-122000   00     184.45 1005.2    187.25     2.16     1.69
YAKUTSK    240511 300  122000-122500   00     180.93 1005.1    183.65     0.20    -0.24
YAKUTSK    240511 300  122500-123000   00     181.09 1005.1    183.81     0.28    -0.12
YAKUTSK    240511 300  123000-123500   00     180.48 1005.1    183.15    -0.08    -0.45
YAKUTSK    240511 300  123500-124000   00     183.23 1005.1    185.95     1.45     1.10
YAKUTSK    240511 300  124000-124500   00     181.55 1005.1    184.21     0.50     0.19
YAKUTSK    240511 300  124500-125000   00     181.76 1005.1    184.43     0.62     0.33
YAKUTSK    240511 300  125000-125500   00     183.31 1005.1    185.97     1.46     1.20
YAKUTSK    240511 300  125500-130000   00     179.25 1005.1    181.92    -0.75    -0.96
YAKUTSK    240511 300  130000-130500   00     180.37 1005.1    183.07    -0.12    -0.31
YAKUTSK    240511 300  130500-131000   00     181.57 1005.1    184.24     0.52     0.36
YAKUTSK    240511 300  131000-131500   00     179.23 1005.1    181.84    -0.79    -0.91
YAKUTSK    240511 300  131500-132000   00     180.45 1005.0    183.04    -0.14    -0.22
YAKUTSK    240511 300  132000-132500   00     178.85 1005.0    181.41    -1.03    -1.07
YAKUTSK    240511 300  132500-133000   00     176.53 1005.0    179.07    -2.31    -2.31
YAKUTSK    240511 300  133000-133500   00     179.09 1005.0    181.68    -0.88    -0.86
YAKUTSK    240511 300  133500-134000   00     179.23 1005.1    181.89    -0.76    -0.71
YAKUTSK    240511 300  134000-134500   00     180.03 1005.1    182.69    -0.33    -0.24
YAKUTSK    240511 300  134500-135000   00     177.84 1005.1    180.45    -1.55    -1.42
YAKUTSK    240511 300  135000-135500   00     178.69 1005.0    181.25    -1.11    -0.95
YAKUTSK    240511 300  135500-140000   00     178.51 1005.0    181.04    -1.23    -1.03
YAKUTSK    240511 300  140000-140500   00     179.36 1004.9    181.84    -0.79    -9999
YAKUTSK    240511 300  140500-141000   00     179.55 1004.9    181.92    -0.75    -9999
YAKUTSK    240511 300  141000-141500   00     179.60 1004.8    181.89    -0.76    -9999
YAKUTSK    240511 300  141500-142000   00     180.00 1004.8    182.29    -0.55    -9999
