IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    800     MB     COEFFICIENT   -0.713    % / MB
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE  4,715.65      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK2   240511 3600 200000-210000   00    4692.00  801.7   4748.00     0.69    -9999
IRKUTSK2   240511 3600 210000-220000   00    4732.00  801.2   4774.00     1.24    -9999
IRKUTSK2   240511 3600 220000-230000   00    4737.00  800.9   4766.00     1.07    -9999
IRKUTSK2   240511 3600 230000-240000   00    4740.00  800.8   4768.00     1.11    -9999
IRKUTSK2   240512 3600 000000-010000   00    4745.00  800.7   4767.00     1.09    -9999
IRKUTSK2   240512 3600 010000-020000   00    4833.00  800.3   4844.00     2.72    -9999
IRKUTSK2   240512 3600 020000-030000   00    4869.00  799.9   4867.00     3.21    -9999
IRKUTSK2   240512 3600 030000-040000   00    4870.00  799.3   4846.00     2.76    -9999
IRKUTSK2   240512 3600 040000-050000   00    4909.00  798.9   4870.00     3.27    -9999
IRKUTSK2   240512 3600 050000-060000   00    4884.00  798.6   4836.00     2.55    -9999
IRKUTSK2   240512 3600 060000-070000   00    4876.00  798.5   4825.00     2.32    -9999
IRKUTSK2   240512 3600 070000-080000   00    4848.00  798.7   4804.00     1.87    -9999
IRKUTSK2   240512 3600 080000-090000   00    4805.00  799.8   4799.00     1.77    -9999
IRKUTSK2   240512 3600 090000-100000   00    4756.00  800.4   4770.00     1.15    -9999
