JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    331.84      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  241122 3600 130000-140000   00     328.03  646.6    336.49     1.40    -9999
JUNGFRAU1  241122 3600 140000-150000   00     325.19  647.2    335.12     0.99    -9999
JUNGFRAU1  241122 3600 150000-160000   00     324.99  648.2    337.22     1.62    -9999
JUNGFRAU1  241122 3600 160000-170000   00     324.37  649.0    338.61     2.04    -9999
JUNGFRAU1  241122 3600 170000-180000   00     322.79  649.9    339.22     2.23    -9999
JUNGFRAU1  241122 3600 180000-190000   00     318.98  650.6    336.85     1.51    -9999
JUNGFRAU1  241122 3600 190000-200000   00     318.38  651.3    337.86     1.81    -9999
JUNGFRAU1  241122 3600 200000-210000   00     314.33  652.4    336.35     1.36    -9999
JUNGFRAU1  241122 3600 210000-220000   00     311.95  653.3    335.74     1.18    -9999
JUNGFRAU1  241122 3600 220000-230000   00     309.81  654.2    335.62     1.14    -9999
JUNGFRAU1  241122 3600 230000-240000   00     308.16  655.2    336.41     1.38    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076JUN1_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
